x,y
1.48E-05,8.53E-05
4.20E-05,0.000260765
7.95E-05,0.000530777
0.000129171,0.000901317
0.00019092,0.001380343
0.000264503,0.001971804
0.000347101,0.00267843
0.000440405,0.003495364
0.000543692,0.00441166
0.000656285,0.005417189
0.000780326,0.006496481
0.000915499,0.007636503
0.00106149,0.008825337
0.001218174,0.010051183
0.001383192,0.011305147
0.001294593,0.011308704
0.001118116,0.011318054
0.000854814,0.011330571
0.000504562,0.011345178
6.75E-05,0.011360892
-0.000454139,0.011377753
-0.001061244,0.01139653
-0.001754543,0.011417916
-0.002532593,0.011439752
-0.003388888,0.01146268
-0.004321241,0.011484872
-0.005327491,0.011504677
-0.006403097,0.011518026
-0.007544714,0.011525143
-0.008749155,0.011526249
-0.010003955,0.011522112
-0.011298662,0.011516954
-0.012623743,0.011514586
-0.013970333,0.011510119
-0.013992869,0.011424653
-0.014039388,0.011253572
-0.014110209,0.010996958
-0.014205747,0.010653615
-0.014324277,0.01022139
-0.014464187,0.009698557
-0.014623412,0.009086195
-0.01480115,0.008385497
-0.014996634,0.007597764
-0.015205792,0.006723831
-0.01542677,0.005766332
-0.015657863,0.004727854
-0.015894361,0.003610749
-0.016130522,0.002431395
-0.016365417,0.001198995
-0.016598214,-7.80E-05
-0.016827424,-0.001393381
-0.01705153,-0.002739157
-0.017269174,-0.004108087
-0.017182298,-0.004125004
-0.017004286,-0.004159367
-0.016731517,-0.004210869
-0.016363182,-0.004279189
-0.015898051,-0.004364923
-0.015341173,-0.004463013
-0.014697336,-0.004568864
-0.013970338,-0.004681825
-0.013170476,-0.00480277
-0.012307223,-0.004932468
-0.011394282,-0.005071963
-0.010438411,-0.005221244
-0.009445814,-0.005382499
-0.009358178,-0.005394691
-0.009181308,-0.00542026
-0.008915282,-0.005459318
-0.008560394,-0.005511933
-0.008115835,-0.005575726
-0.007582579,-0.005650188
-0.006961727,-0.005734832
-0.006255787,-0.005829009
-0.005467606,-0.005932294
-0.004599957,-0.00604798
-0.003657948,-0.00617901
-0.002653588,-0.00632615
-0.001600094,-0.006486906
-0.000509513,-0.006658994
0.000611996,-0.006835884